Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
2304599.0,Himachal Pradesh,2741702.0,437103.0,41997,2021-06-17
3267877.0,Jammu and Kashmir,3860287.0,592410.0,38182,2021-06-17
4580622.0,Jharkhand,5439159.0,858537.0,75248,2021-06-17
14771770.0,Karnataka,17899357.0,3127587.0,191411,2021-06-17
9504983.0,Kerala,11895426.0,2390443.0,146142,2021-06-17
159275.0,Ladakh,196717.0,37442.0,2207,2021-06-17
4756248.0,Delhi,6263721.0,1507473.0,54911,2021-06-16
4506462.0,Jharkhand,5351699.0,845237.0,64830,2021-06-16
3229615.0,Jammu and Kashmir,3818944.0,589329.0,33073,2021-06-16
2262895.0,Himachal Pradesh,2699523.0,436628.0,40347,2021-06-16
5919214.0,Haryana,7020156.0,1100942.0,61427,2021-06-16
16440786.0,Gujarat,21112010.0,4671224.0,248589,2021-06-16
592719.0,Goa,691969.0,99250.0,14917,2021-06-16
2725505.0,Uttarakhand,3444654.0,719149.0,24935,2021-06-16
121993.0,Dadra and Nagar Haveli,134116.0,12123.0,3327,2021-06-16
5179502.0,Chhattisgarh,6350848.0,1171346.0,5443,2021-06-16
349204.0,Chandigarh,425495.0,76291.0,6236,2021-06-16
10763130.0,Bihar,12716811.0,1953681.0,493926,2021-06-16
4018537.0,Assam,4998717.0,980180.0,44675,2021-06-16
359462.0,Arunachal Pradesh,438804.0,79342.0,12046,2021-06-16
9795862.0,Andhra Pradesh,12439899.0,2644037.0,30649,2021-06-16
9386066.0,Kerala,11746936.0,2360870.0,108798,2021-06-16
14594061.0,Karnataka,17695431.0,3101370.0,195401,2021-06-16
7631412.0,Odisha,9350452.0,1719040.0,152824,2021-06-16
157081.0,Ladakh,194501.0,37420.0,1159,2021-06-16
4468606.0,Punjab,5299801.0,831195.0,19780,2021-06-16
20343637.0,Uttar Pradesh,24254164.0,3910527.0,363177,2021-06-16
1213866.0,Tripura,1736324.0,522458.0,29069,2021-06-16
7151956.0,Telangana,8511947.0,1359991.0,172731,2021-06-16
9441618.0,Tamil Nadu,11643851.0,2202233.0,329899,2021-06-16
257485.0,Sikkim,317335.0,59850.0,14940,2021-06-16
16682442.0,Rajasthan,20042703.0,3360261.0,45333,2021-06-16
299122.0,Puducherry,353121.0,53999.0,13112,2021-06-16
42783.0,Lakshadweep,49904.0,7121.0,566,2021-06-16
320460.0,Nagaland,373071.0,52611.0,11034,2021-06-16
341373.0,Mizoram,393779.0,52406.0,20645,2021-06-16
469951.0,Meghalaya,544781.0,74830.0,13959,2021-06-16
482536.0,Manipur,554243.0,71707.0,5927,2021-06-16
21442311.0,Maharashtra,26774547.0,5332236.0,234802,2021-06-16
12815277.0,Madhya Pradesh,14840484.0,2025207.0,337410,2021-06-16
118511.0,Andaman and Nicobar Islands,133931.0,15420.0,979,2021-06-16
14127403.0,West Bengal,18249050.0,4121647.0,119676,2021-06-16
136261.0,Daman and Diu,150746.0,14485.0,2544,2021-06-16
